// race-specific variables (must start with _)
_empire                           | Klackon Hive, Insecton Hive, Termitton Hive, Arthropon Hive, Coleopteron Hive
_race                             | Klackon, Insecton, Termitton, Arthropon, Coleopteron
_race_plural                      | Klackon, Insecton, Termitton, Arthropon, Coleopteron
_title                            | ruler
_nameTitle                        |

GOVT_EMPIRE                       | %1 Hive

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | The Hive
MAIN_ADVISOR_BUTTON_OK            | Acknowledge
MAIN_ADVISOR_SCOUT                | The worker-drones have finally finished work on the Hive's first starships. The Hive must now utilize them to explore other star systems and, when a habitable planet is located, colonize it.
MAIN_ADVISOR_TRANSPORT            | The drones are already starting to build the first hive on the planet. If a portion of Kholdan's population was transported to it, the colony would develop faster.
MAIN_ADVISOR_DIPLOMACY            | The Hive has found an alien life-form. But little is known about them. Perhaps prior to contacting them with xenorelations drones the Hive should learn more about their behavior.
MAIN_ADVISOR_SHIP_ENGINE          | Only now is it clear how slow and inefficient the first FTL engines were. All future ships should use these new engines, otherwise they may be outmaneuvered by the Hive's enemies.
MAIN_ADVISOR_RALLY_POINTS         | The Hive has entered conflict with an alien life-form. Action must be taken quickly. The Hive must order it's drones to build new armed starships, and send them to rally points.
MAIN_ADVISOR_MISSILE_BASES        | Hive colonies on the edge of it's territory are completely defenseless. The Hive should order the drones to build defensive missile bases to deter attackers.
MAIN_ADVISOR_SHIP_WEAPON          | The thought-drones have created a new space-based weapon. To further the Hive's goal of dominating this galaxy it should be integrated into all future armed starships.
MAIN_ADVISOR_COUNCIL              | It seems that the inhabitants of this galaxy want to elect a galactic leader. The Hive should direct it's xenorelations-drones to show it's neighbors that the Hive would be the best canditate.
MAIN_ADVISOR_REBELLION            | It seems that the drones on %1 have... achieved self-awareness and are not fulfilling their directives. The Hive must put an end to this as soon as possible, by killing all affected drones.
MAIN_ADVISOR_RESIST_COUNCIL       | The Hive cannot allow this "Council" to dominate this galaxy. To allow that would impede the Hive's future expansion. It must be removed, and only then will the Hive achieve it's destiny.
